Cell	Cluster	CellType	NumofReads
SRR1781122	2	TF1	154514
SRR1781123	5	HL60	151580
SRR1781124	5	HL60	90260
SRR1781125	5	HL60	43808
SRR1781126	2	HL60	438250
SRR1781127	5	HL60	36720
SRR1781128	5	HL60	42802
SRR1781129	5	HL60	455036
SRR1781130	5	HL60	11946
SRR1781131	5	HL60	47432
SRR1781132	5	HL60	62782
SRR1781133	5	HL60	51212
SRR1781134	5	HL60	15524
SRR1781135	5	HL60	322632
SRR1781136	5	HL60	25582
SRR1781137	5	HL60	40060
SRR1781138	5	HL60	76872
SRR1781139	5	HL60	36084
SRR1781140	5	HL60	32670
SRR1781141	5	HL60	22622
SRR1781142	5	HL60	30512
SRR1781143	5	HL60	32872
SRR1781144	5	HL60	23738
SRR1781145	5	HL60	28672
SRR1781146	5	HL60	27414
SRR1781147	5	HL60	33804
SRR1781148	5	HL60	65830
SRR1781149	5	HL60	37588
SRR1781150	5	HL60	42834
SRR1781151	5	HL60	36754
SRR1781152	5	HL60	545016
SRR1781153	5	HL60	210740
SRR1781154	5	HL60	25658
SRR1781155	5	HL60	63920
SRR1781156	5	HL60	60506
SRR1781157	5	HL60	78196
SRR1781158	5	HL60	47962
SRR1781159	5	HL60	42468
SRR1781160	5	HL60	45730
SRR1781161	5	HL60	73222
SRR1781162	5	HL60	50178
SRR1781163	5	HL60	120312
SRR1781164	5	HL60	665100
SRR1781165	5	HL60	15316
SRR1781166	5	HL60	39186
SRR1781167	5	HL60	80440
SRR1781168	5	HL60	84596
SRR1781169	5	HL60	54494
SRR1781170	5	HL60	60304
SRR1781171	5	HL60	31470
SRR1781172	5	HL60	103472
SRR1781173	5	HL60	3146
SRR1781174	5	HL60	261846
SRR1781175	5	HL60	38898
SRR1781176	5	HL60	30484
SRR1781177	5	HL60	58918
SRR1781178	2	HL60	143748
SRR1781179	5	HL60	22400
SRR1781180	5	HL60	47070
SRR1781181	5	HL60	880498
SRR1781182	5	HL60	158060
SRR1781183	2	HL60	255728
SRR1781184	5	HL60	45110
SRR1781185	5	HL60	37514
SRR1781186	5	HL60	2604
SRR1781187	5	HL60	36308
SRR1781188	5	HL60	144914
SRR1781189	5	HL60	9498
SRR1781190	5	HL60	21274
SRR1781191	5	HL60	40408
SRR1781192	5	HL60	100470
SRR1781193	5	HL60	28442
