Cell	Cluster	CellType	NumofReads
SRR5353861	1	MPP	13028
SRR5353862	1	MPP	3514
SRR5353863	1	MPP	6766
SRR5353864	1	MPP	14596
SRR5353865	1	MPP	39084
SRR5353866	1	MPP	13910
SRR5353867	1	MPP	11692
SRR5353869	1	MPP	16060
SRR5353870	1	MPP	7712
SRR5353871	1	MPP	3682
SRR5353872	1	MPP	10654
SRR5353873	1	MPP	13612
SRR5353874	1	MPP	46144
SRR5353875	1	MPP	10252
SRR5353876	1	MPP	8060
SRR5353878	1	MPP	5758
SRR5353880	1	MPP	7308
SRR5353881	1	MPP	12272
SRR5353882	1	MPP	10034
SRR5353883	1	MPP	41060
SRR5353884	1	MPP	14952
SRR5353886	1	MPP	15524
SRR5353887	1	MPP	75434
SRR5353888	1	MPP	14116
SRR5353890	1	MPP	3862
SRR5353891	1	MPP	26602
SRR5353892	1	MPP	6970
SRR5353893	1	MPP	18174
SRR5353894	1	MPP	7918
SRR5353895	1	MPP	8528
SRR5353896	1	MPP	16418
SRR5353897	1	MPP	5550
SRR5353898	1	MPP	17468
SRR5353899	1	MPP	7572
SRR5353901	1	MPP	14294
SRR5353902	1	MPP	3744
SRR5353903	1	MPP	6114
SRR5353904	1	MPP	7986
SRR5353905	1	MPP	9870
SRR5353906	1	MPP	5558
SRR5353907	1	MPP	22490
SRR5353908	1	MPP	12988
SRR5353910	1	MPP	18052
SRR5353911	1	MPP	21530
SRR5353912	1	MPP	34960
SRR5353913	1	MPP	10222
SRR5353914	1	MPP	3850
SRR5353915	1	MPP	14326
SRR5353916	1	MPP	3088
SRR5353917	1	MPP	25406
SRR5353919	1	MPP	13618
SRR5353920	1	MPP	15288
SRR5353921	1	MPP	6844
SRR5353922	1	MPP	38324
SRR5353923	1	MPP	29608
SRR5353924	1	MPP	20638
SRR5353925	4	MPP	12862
SRR5353926	1	MPP	19788
SRR5353927	1	MPP	11184
SRR5353928	1	MPP	13412
SRR5353929	4	MPP	9046
SRR5353930	1	MPP	9760
SRR5353932	1	MPP	17902
SRR5353934	1	MPP	25460
SRR5353935	1	MPP	7696
SRR5353936	1	MPP	14148
SRR5353937	1	MPP	32652
SRR5353938	1	MPP	5776
SRR5353939	1	MPP	4028
SRR5353940	1	MPP	3176
SRR5353941	1	MPP	35444
SRR5353942	1	MPP	7550
SRR5353944	1	MPP	9946
SRR5353945	1	MPP	3252
SRR5353946	1	MPP	7052
SRR5353947	1	MPP	98890
SRR5353948	1	MPP	11162
SRR5353949	1	MPP	78494
SRR5353950	1	MPP	178184
SRR5353951	1	MPP	30150
SRR5353952	1	MPP	6158
SRR5353954	1	MPP	12292
SRR5353955	1	MPP	15804
SRR5353956	1	MPP	20090
SRR5353957	1	MPP	9486
SRR5353958	1	MPP	13970
SRR5353959	1	MPP	19500
SRR5353960	1	MPP	8376
SRR5353961	1	MPP	18014
SRR5353962	1	MPP	19320
SRR5353963	1	MPP	24394
SRR5353964	4	MPP	75238
SRR5353965	1	MPP	22332
SRR5353966	1	MPP	11476
SRR5353968	1	MPP	9452
SRR5353969	1	MPP	12938
SRR5353970	1	MPP	4836
SRR5353971	1	MPP	18018
SRR5353972	1	MPP	23988
SRR5353974	1	MPP	37832
SRR5353975	1	MPP	17620
SRR5353976	1	MPP	11078
SRR5353977	4	MPP	22516
SRR5353978	1	MPP	5620
SRR5353979	1	MPP	26220
SRR5353980	1	MPP	5386
SRR5353981	1	MPP	38840
SRR5353982	1	MPP	40536
SRR5353983	1	MPP	15478
SRR5353984	1	MPP	16252
SRR5353985	1	MPP	8662
SRR5353986	1	MPP	28416
