Cell	Cluster	CellType	NumofReads
SRR5354238	1	CMP	146200
SRR5354239	1	CMP	18952
SRR5354240	1	CMP	334356
SRR5354241	1	CMP	82404
SRR5354242	2	CMP	17790
SRR5354243	1	CMP	6644
SRR5354244	1	CMP	14164
SRR5354246	1	CMP	15950
SRR5354247	1	CMP	57742
SRR5354248	1	CMP	29244
SRR5354249	1	CMP	100854
SRR5354250	1	CMP	30200
SRR5354251	1	CMP	29334
SRR5354252	1	CMP	15946
SRR5354253	1	CMP	25474
SRR5354254	1	CMP	10164
SRR5354255	1	CMP	16762
SRR5354256	1	CMP	245052
SRR5354257	1	CMP	5874
SRR5354258	1	CMP	25384
SRR5354259	1	CMP	75096
SRR5354260	1	CMP	9336
SRR5354261	1	CMP	60228
SRR5354262	1	CMP	34306
SRR5354263	1	CMP	71314
SRR5354264	1	CMP	23556
SRR5354265	1	CMP	38360
SRR5354266	1	CMP	20646
SRR5354267	1	CMP	23408
SRR5354268	1	CMP	49360
SRR5354269	1	CMP	16766
SRR5354270	1	CMP	35404
SRR5354271	2	CMP	22694
SRR5354272	1	CMP	26092
SRR5354273	1	CMP	28312
SRR5354274	1	CMP	62478
SRR5354275	1	CMP	22224
SRR5354276	1	CMP	330328
SRR5354277	1	CMP	82626
SRR5354278	1	CMP	33788
SRR5354279	1	CMP	14632
SRR5354280	1	CMP	28898
SRR5354281	1	CMP	17810
SRR5354282	1	CMP	37326
SRR5354283	1	CMP	12898
SRR5354284	1	CMP	37066
SRR5354285	1	CMP	42832
SRR5354286	1	CMP	14392
SRR5354287	1	CMP	41518
SRR5354288	1	CMP	211406
SRR5354289	1	CMP	18602
SRR5354290	1	CMP	26136
SRR5354291	1	CMP	24660
SRR5354292	1	CMP	46224
SRR5354293	1	CMP	17090
SRR5354294	1	CMP	43334
SRR5354295	1	CMP	34314
SRR5354296	2	CMP	6996
SRR5354297	1	CMP	15590
SRR5354298	1	CMP	6002
SRR5354299	1	CMP	31872
SRR5354300	1	CMP	42318
SRR5354301	1	CMP	7970
SRR5354302	1	CMP	27386
SRR5354303	1	CMP	20686
SRR5354304	1	CMP	23726
SRR5354305	1	CMP	19968
SRR5354306	1	CMP	25154
SRR5354307	1	CMP	45546
SRR5354308	1	CMP	53310
SRR5354309	1	CMP	480188
SRR5354310	1	CMP	22220
SRR5354311	1	CMP	56632
SRR5354312	1	CMP	20374
SRR5354313	1	CMP	47520
SRR5354314	1	CMP	16530
SRR5354315	1	CMP	35586
SRR5354316	1	CMP	26548
SRR5354317	1	CMP	5378
SRR5354318	1	CMP	20886
SRR5354319	1	CMP	16332
SRR5354320	1	CMP	12132
SRR5354321	1	CMP	18872
SRR5354322	1	CMP	164290
SRR5354323	1	CMP	23806
SRR5354324	1	CMP	199002
SRR5354325	1	CMP	15136
SRR5354326	1	CMP	41914
SRR5354327	1	CMP	120954
SRR5354328	1	CMP	55884
SRR5354329	1	CMP	436618
SRR5354330	1	CMP	42926
SRR5354331	1	CMP	21090
SRR5354333	1	CMP	123788
SRR5354334	1	CMP	18122
SRR5354335	1	CMP	82586
SRR5354336	1	CMP	222334
SRR5354337	1	CMP	21480
SRR5354338	1	CMP	6522
SRR5354339	1	CMP	24556
SRR5354341	1	CMP	12318
SRR5354342	1	CMP	13994
SRR5354343	1	CMP	12836
SRR5354344	1	CMP	206268
SRR5354345	1	CMP	10420
SRR5354346	1	CMP	21920
SRR5354347	1	CMP	59076
SRR5354348	1	CMP	29818
SRR5354349	1	CMP	6020
SRR5354350	1	CMP	32918
SRR5354351	1	CMP	64640
SRR5354352	1	CMP	11192
SRR5354353	1	CMP	15610
SRR5354355	1	CMP	38910
SRR5354356	1	CMP	50760
SRR5354357	1	CMP	53050
SRR5354358	1	CMP	190726
SRR5354360	1	CMP	6984
SRR5354361	1	CMP	24210
SRR5354362	1	CMP	8752
SRR5354363	1	CMP	264458
SRR5354364	1	CMP	49786
SRR5354366	1	CMP	39168
SRR5354367	1	CMP	54796
SRR5354368	1	CMP	93626
SRR5354369	1	CMP	28782
SRR5354370	1	CMP	151534
SRR5354371	1	CMP	23230
SRR5354372	1	CMP	18332
SRR5354373	1	CMP	54664
SRR5354374	1	CMP	32800
SRR5354375	1	CMP	53932
SRR5354376	1	CMP	63276
SRR5354377	1	CMP	65024
SRR5354378	1	CMP	6292
SRR5354379	1	CMP	10600
SRR5354380	1	CMP	47752
SRR5354381	1	CMP	7286
SRR5354382	1	CMP	16034
SRR5354383	1	CMP	7480
SRR5354384	1	CMP	567926
SRR5354385	1	CMP	37462
SRR5354386	1	CMP	26906
SRR5354387	1	CMP	37042
