Number of peaks: 125647; number of cells: 1224
Number of non-zeros before imputation: 5516980
iteration: 120, objective: 0.03871595469951682, violation: 0.0014965528604089188
iteration: 121, objective: 0.03871589344586361, violation: 0.001483694760875153
iteration: 122, objective: 0.038715831039858054, violation: 0.0014709089119690152
iteration: 123, objective: 0.03871576782528291, violation: 0.0014587333078180404
iteration: 124, objective: 0.03871570433349019, violation: 0.0014462896006177724
iteration: 125, objective: 0.0387156410371463, violation: 0.0014317133136007147
iteration: 126, objective: 0.03871557837202144, violation: 0.0014174008625053444
iteration: 127, objective: 0.03871551680902444, violation: 0.0014028611178116563
iteration: 128, objective: 0.03871545678872498, violation: 0.001387977588789584
iteration: 129, objective: 0.03871539868661889, violation: 0.0013724454072944249
iteration: 130, objective: 0.03871534281600571, violation: 0.0013569414722547554
iteration: 131, objective: 0.03871528951127585, violation: 0.0013402692149093876
iteration: 132, objective: 0.03871523891892845, violation: 0.0013220043418995457
iteration: 133, objective: 0.038715190988287074, violation: 0.0013022728514337275
iteration: 134, objective: 0.03871514599009243, violation: 0.0012847004400528797
iteration: 135, objective: 0.038715103914055915, violation: 0.0012615868037616216
iteration: 136, objective: 0.038715064876443474, violation: 0.0012379397283597713
iteration: 137, objective: 0.03871502891968561, violation: 0.0012099930487958993
iteration: 138, objective: 0.03871499600855452, violation: 0.0011787740857901368
iteration: 139, objective: 0.038714965915217864, violation: 0.0011469370020289666
iteration: 140, objective: 0.038714938231713375, violation: 0.0011155775344575615
iteration: 141, objective: 0.03871491231364648, violation: 0.0010861099071566359
iteration: 142, objective: 0.038714887765459505, violation: 0.0010631364544833215
iteration: 143, objective: 0.038714864459136716, violation: 0.0010436038372388854
iteration: 144, objective: 0.038714842610917045, violation: 0.0010234002780481063
iteration: 145, objective: 0.03871482251315653, violation: 0.000987785189481858
iteration: 146, objective: 0.03871480393555455, violation: 0.0009758779465476596
iteration: 147, objective: 0.03871478716461886, violation: 0.0009454431722226683
iteration: 148, objective: 0.0387147718995422, violation: 0.0009121247106142616
iteration: 149, objective: 0.0387147580402752, violation: 0.0008838702663056172
iteration: 150, objective: 0.03871474651704024, violation: 0.0008556210833442199
iteration: 151, objective: 0.03871473638283432, violation: 0.0008073864295705923
iteration: 152, objective: 0.03871472727310825, violation: 0.0007803792049683021
iteration: 153, objective: 0.038714719078675394, violation: 0.0007552795372526612
iteration: 154, objective: 0.038714711699613436, violation: 0.0007310484995712369
iteration: 155, objective: 0.03871470504432177, violation: 0.0007078498810404684
iteration: 156, objective: 0.03871469902961947, violation: 0.0006856595088030265
iteration: 157, objective: 0.03871469355701978, violation: 0.0006646077528728934
iteration: 158, objective: 0.038714688600740406, violation: 0.0006459933665673909
iteration: 159, objective: 0.038714684120409064, violation: 0.000628198167390454
