Cell	Cluster	CellType	NumofReads
SRR1779880	2	GM12878	30112
SRR1779881	2	GM12878	4806
SRR1779882	2	GM12878	13468
SRR1779883	2	GM12878	7922
SRR1779884	2	GM12878	29316
SRR1779885	2	GM12878	23046
SRR1779886	2	GM12878	15890
SRR1779887	2	GM12878	3926
SRR1779888	2	GM12878	25632
SRR1779889	2	GM12878	22400
SRR1779890	2	GM12878	14894
SRR1779891	2	GM12878	21088
SRR1779892	2	GM12878	55932
SRR1779893	2	GM12878	18072
SRR1779894	2	GM12878	26600
SRR1779895	2	GM12878	8178
SRR1779896	2	GM12878	40554
SRR1779897	2	GM12878	13136
SRR1779898	2	GM12878	39298
SRR1779899	2	GM12878	22356
SRR1779900	2	GM12878	18084
SRR1779901	2	GM12878	124442
SRR1779902	2	GM12878	50012
SRR1779903	2	GM12878	129468
SRR1779904	2	GM12878	18632
SRR1779905	2	GM12878	9972
SRR1779906	2	GM12878	18590
SRR1779907	2	GM12878	12326
SRR1779908	2	GM12878	59134
SRR1779909	2	GM12878	44942
SRR1779910	2	GM12878	52160
SRR1779911	2	GM12878	3222
SRR1779912	2	GM12878	14814
SRR1779913	2	GM12878	32356
SRR1779914	2	GM12878	65116
SRR1779915	2	GM12878	69254
SRR1779916	2	GM12878	305526
SRR1779917	2	GM12878	14388
SRR1779918	2	GM12878	11566
SRR1779919	2	GM12878	27036
SRR1779920	2	GM12878	19118
SRR1779921	2	GM12878	47508
SRR1779922	2	GM12878	43924
SRR1779923	2	GM12878	22858
SRR1779924	2	GM12878	94018
SRR1779925	2	GM12878	26744
SRR1779926	2	GM12878	16854
SRR1779927	2	GM12878	9100
SRR1779928	2	GM12878	6480
SRR1779929	2	GM12878	28722
SRR1779930	2	GM12878	18408
SRR1779931	2	GM12878	8766
SRR1779932	2	GM12878	12684
SRR1779933	2	GM12878	28872
SRR1779934	2	GM12878	33798
SRR1779935	2	GM12878	17710
SRR1779936	2	GM12878	48484
SRR1779937	2	GM12878	4870
SRR1779938	2	GM12878	13874
SRR1779939	2	GM12878	16896
SRR1779940	2	GM12878	84012
SRR1779941	2	GM12878	60188
SRR1779942	2	GM12878	29054
SRR1779943	2	GM12878	3996
SRR1779944	2	GM12878	38186
SRR1779945	2	GM12878	56674
SRR1779946	2	GM12878	20444
SRR1779947	2	GM12878	45380
SRR1779948	2	GM12878	3556
SRR1779949	2	GM12878	23330
SRR1779950	2	GM12878	71168
SRR1779951	2	GM12878	25360
SRR1779952	2	GM12878	7568
SRR1779953	2	GM12878	9526
SRR1779954	2	GM12878	35374
SRR1779955	2	GM12878	17136
SRR1779956	2	GM12878	34090
SRR1779957	2	GM12878	37668
SRR1779958	2	GM12878	8912
SRR1779959	2	GM12878	33594
SRR1779960	2	GM12878	27878
SRR1779961	2	GM12878	38442
SRR1779962	2	GM12878	33838
SRR1779963	2	GM12878	82992
SRR1779964	2	GM12878	33178
SRR1779965	2	GM12878	28878
SRR1779966	2	GM12878	30560
SRR1779967	2	GM12878	2876
SRR1779968	2	GM12878	699034
SRR1779969	2	GM12878	107858
SRR1779970	2	GM12878	76190
SRR1779971	2	GM12878	21790
SRR1779973	2	GM12878	17658
SRR1779974	2	GM12878	3420
SRR1779975	2	GM12878	89644
SRR1779976	2	GM12878	2876
SRR1779977	2	GM12878	24684
SRR1779978	2	GM12878	20296
SRR1779979	2	GM12878	45886
SRR1779983	2	GM12878	19750
SRR1779984	2	GM12878	24152
SRR1779985	2	GM12878	19210
SRR1779989	2	GM12878	7258
SRR1779990	2	GM12878	28156
SRR1779991	2	GM12878	14676
SRR1779995	2	GM12878	38770
SRR1779996	2	GM12878	14574
SRR1779997	4	GM12878	26146
SRR1779998	4	GM12878	34680
SRR1780001	4	GM12878	9738
SRR1780002	4	GM12878	19844
SRR1780003	4	GM12878	9790
SRR1780007	4	GM12878	23010
SRR1780008	4	GM12878	7432
SRR1780009	4	GM12878	23344
SRR1780010	4	GM12878	29264
SRR1780012	4	GM12878	32510
SRR1780013	4	GM12878	5362
SRR1780014	4	GM12878	18690
SRR1780015	4	GM12878	2804
SRR1780016	4	GM12878	2238
SRR1780017	4	GM12878	36002
SRR1780018	4	GM12878	4218
SRR1780019	4	GM12878	20224
SRR1780020	4	GM12878	15226
SRR1780021	4	GM12878	4936
SRR1780022	4	GM12878	3006
SRR1780023	4	GM12878	4214
SRR1780024	4	GM12878	5860
SRR1780025	4	GM12878	26394
SRR1780026	4	GM12878	16132
SRR1780027	4	GM12878	11216
SRR1780028	4	GM12878	14596
SRR1780029	4	GM12878	2030
SRR1780030	4	GM12878	2026
SRR1780031	4	GM12878	38160
SRR1780032	4	GM12878	13744
SRR1780033	4	GM12878	27470
SRR1780034	4	GM12878	5418
SRR1780035	4	GM12878	5006
SRR1780036	4	GM12878	2784
SRR1780037	4	GM12878	22786
SRR1780038	4	GM12878	35460
SRR1780039	4	GM12878	41874
SRR1780040	4	GM12878	36950
SRR1780041	4	GM12878	47866
SRR1780042	4	GM12878	56826
SRR1780043	4	GM12878	4634
SRR1780044	4	GM12878	3278
SRR1780045	4	GM12878	65868
SRR1780046	4	GM12878	85312
SRR1780047	4	GM12878	6106
SRR1780048	4	GM12878	9112
SRR1780049	4	GM12878	13782
SRR1780050	4	GM12878	148220
SRR1780051	4	GM12878	35884
SRR1780052	4	GM12878	70608
SRR1780053	4	GM12878	81584
SRR1780054	4	GM12878	47856
SRR1780055	4	GM12878	58660
SRR1780056	4	GM12878	9764
SRR1780057	4	GM12878	27784
