Cell	Cluster	CellType	NumofReads	SampleName	JC	Replicates
SRR6357908	1	Jurkat_T_cell	7444	GSM2879876	J	3
SRR6357909	1	Jurkat_T_cell	26378	GSM2879877	J	3
SRR6357911	1	Jurkat_T_cell	21058	GSM2879879	J	3
SRR6357913	1	Jurkat_T_cell	2312	GSM2879881	J	3
SRR6357914	1	Jurkat_T_cell	27108	GSM2879882	J	3
SRR6357915	1	Jurkat_T_cell	4872	GSM2879883	J	3
SRR6357916	1	Jurkat_T_cell	1328	GSM2879884	J	3
SRR6357917	1	Jurkat_T_cell	24064	GSM2879885	J	3
SRR6357918	1	Jurkat_T_cell	1340	GSM2879886	J	3
SRR6357919	1	Jurkat_T_cell	3068	GSM2879887	J	3
SRR6357921	1	Jurkat_T_cell	330164	GSM2879889	J	3
SRR6357923	1	Jurkat_T_cell	2616	GSM2879891	J	3
SRR6357924	1	Jurkat_T_cell	32924	GSM2879892	J	3
SRR6357925	1	Jurkat_T_cell	19710	GSM2879893	J	3
SRR6357926	1	Jurkat_T_cell	1904	GSM2879894	J	3
SRR6357927	1	Jurkat_T_cell	18330	GSM2879895	J	3
SRR6357928	1	Jurkat_T_cell	17840	GSM2879896	J	3
SRR6357929	1	Jurkat_T_cell	5740	GSM2879897	J	3
SRR6357931	1	Jurkat_T_cell	1870	GSM2879899	J	3
SRR6357932	1	Jurkat_T_cell	2294	GSM2879900	J	3
SRR6357933	1	Jurkat_T_cell	1240	GSM2879901	J	3
SRR6357935	1	Jurkat_T_cell	3174	GSM2879903	J	3
SRR6357938	1	Jurkat_T_cell	10408	GSM2879906	J	3
SRR6357939	1	Jurkat_T_cell	2222	GSM2879907	J	3
SRR6357940	1	Jurkat_T_cell	17268	GSM2879908	J	3
SRR6357941	1	Jurkat_T_cell	2088	GSM2879909	J	3
SRR6357942	1	Jurkat_T_cell	30818	GSM2879910	J	3
SRR6357943	1	Jurkat_T_cell	50974	GSM2879911	J	3
SRR6357944	1	Jurkat_T_cell	3442	GSM2879912	J	3
SRR6357946	1	Jurkat_T_cell	15804	GSM2879914	J	3
